Time,Speed
2017-04-10 14:35:46,3181
2017-04-10 14:35:47,3152
2017-04-10 14:35:48,3266
2017-04-10 14:35:49,3237
2017-04-10 14:35:50,3158
2017-04-10 14:35:51,3272
2017-04-10 14:35:52,3243
2017-04-10 14:35:53,3057
2017-04-10 14:35:54,3172
2017-04-10 14:35:55,3142
2017-04-10 14:35:56,3257
2017-04-10 14:35:57,3227
2017-04-10 14:35:58,3042
2017-04-10 14:35:59,3263
2017-04-10 14:36:00,3078
2017-04-10 14:36:01,3048
2017-04-10 14:36:02,3163
2017-04-10 14:36:03,3133
2017-04-10 14:36:04,3248
2017-04-10 14:36:05,3062
2017-04-10 14:36:06,3033
2017-04-10 14:36:07,3147
2017-04-10 14:36:08,3118
2017-04-10 14:36:09,3039
2017-04-10 14:36:10,3153
2017-04-10 14:36:11,3268
2017-04-10 14:36:12,3238
2017-04-10 14:36:13,3053
2017-04-10 14:36:14,3023
2017-04-10 14:36:15,3138
2017-04-10 14:36:16,3252
2017-04-10 14:36:17,3223
2017-04-10 14:36:18,3037
2017-04-10 14:36:19,3259
2017-04-10 14:36:20,3229
2017-04-10 14:36:21,3044
2017-04-10 14:36:22,3158
2017-04-10 14:36:23,3129
2017-04-10 14:36:24,3243
2017-04-10 14:36:25,3214
2017-04-10 14:36:26,3028
2017-04-10 14:36:27,3299
2017-04-10 14:36:28,3113
2017-04-10 14:36:29,3035
2017-04-10 14:36:30,3149
2017-04-10 14:36:31,3120
2017-04-10 14:36:32,3234
2017-04-10 14:36:33,3205
2017-04-10 14:36:34,3019
2017-04-10 14:36:35,3133
2017-04-10 14:36:36,3104
2017-04-10 14:36:37,3218
2017-04-10 14:36:38,3189
2017-04-10 14:36:39,3110
2017-04-10 14:36:40,3225
2017-04-10 14:36:41,3039
2017-04-10 14:36:42,3010
2017-04-10 14:36:43,3124
2017-04-10 14:36:44,3095
2017-04-10 14:36:45,3209
2017-04-10 14:36:46,3023
2017-04-10 14:36:47,3294
2017-04-10 14:36:48,3216
2017-04-10 14:36:49,3030
2017-04-10 14:36:50,3001
2017-04-10 14:36:51,3415
