Time,Speed
2017-04-12 11:29:41,3052
2017-04-12 11:29:42,3166
2017-04-12 11:29:43,3088
2017-04-12 11:29:44,3059
2017-04-12 11:29:45,3173
2017-04-12 11:29:46,3144
2017-04-12 11:29:47,3258
2017-04-12 11:29:48,3072
2017-04-12 11:29:49,3043
2017-04-12 11:29:50,3157
2017-04-12 11:29:51,3128
2017-04-12 11:29:52,3242
2017-04-12 11:29:53,3164
2017-04-12 11:29:54,3135
2017-04-12 11:29:55,3249
2017-04-12 11:29:56,3063
2017-04-12 11:29:57,3034
2017-04-12 11:29:58,3148
2017-04-12 11:29:59,3119
2017-04-12 11:30:00,3233
2017-04-12 11:30:01,3047
2017-04-12 11:30:02,3018
2017-04-12 11:30:03,3240
2017-04-12 11:30:04,3054
2017-04-12 11:30:05,3025
2017-04-12 11:30:06,3139
2017-04-12 11:30:07,3253
2017-04-12 11:30:08,3224
2017-04-12 11:30:09,3038
2017-04-12 11:30:10,3009
2017-04-12 11:30:11,3123
2017-04-12 11:30:12,3237
2017-04-12 11:30:13,3159
2017-04-12 11:30:14,3130
2017-04-12 11:30:15,3244
2017-04-12 11:30:16,3215
2017-04-12 11:30:17,3029
2017-04-12 11:30:18,3143
2017-04-12 11:30:19,3114
2017-04-12 11:30:20,3228
2017-04-12 11:30:21,3199
2017-04-12 11:30:22,3013
2017-04-12 11:30:23,3235
2017-04-12 11:30:24,3206
2017-04-12 11:30:25,3020
2017-04-12 11:30:26,3134
2017-04-12 11:30:27,3105
2017-04-12 11:30:28,3219
2017-04-12 11:30:29,3190
2017-04-12 11:30:30,3004
2017-04-12 11:30:31,3118
2017-04-12 11:30:32,3040
2017-04-12 11:30:33,3011
2017-04-12 11:30:34,3125
2017-04-12 11:30:35,3096
2017-04-12 11:30:36,3210
2017-04-12 11:30:37,3024
2017-04-12 11:30:38,3295
2017-04-12 11:30:39,3109
2017-04-12 11:30:40,3080
2017-04-12 11:30:41,3194
2017-04-12 11:30:42,3116
2017-04-12 11:30:43,3230
2017-04-12 11:30:44,3201
2017-04-12 11:30:45,3015
2017-04-12 11:30:46,3586
